model,task,ep,method,n,steps,span,demo,wrist,ref,exec,dup,paid
HAMLET,PatternLock,26,tail_L13,512,17,0-128,0.51953125,0.724609375,2/2,1/1,0.859375,
HAMLET,PatternLock,26,tail_L15,512,17,4-128,0.53515625,0.5390625,2/2,1/1,0.876953125,
HAMLET,PatternLock,26,act∪tail_L15,512,17,0-128,0.5234375,0.505859375,2/2,1/1,0.869140625,256/256
HAMLET,PatternLock,26,nov∪act (deployed),512,17,0-120,0.556640625,0.427734375,2/2,1/1,0.76171875,256/256
HAMLET,PatternLock,26,nov∪tail_L15,512,17,0-120,0.560546875,0.541015625,2/2,1/1,0.755859375,256/256
HAMLET,PatternLock,26,nov∪act∪tail_L15,512,17,0-120,0.58203125,0.515625,2/2,1/1,0.76953125,171/171/170
HAMLET,PatternLock,26,nov∪act∪tail_L13,512,17,0-120,0.58203125,0.529296875,2/2,1/1,0.771484375,171/171/170
HAMLET,PatternLock,26,f0front∪act∪tail_L15,512,17,0-128,0.595703125,0.470703125,2/2,1/1,0.7734375,80/216/216
HAMLET,PatternLock,26,f0both∪act∪tail_L15,512,17,0-120,0.658203125,0.55078125,2/2,1/1,0.68359375,154/179/179
HAMLET,ButtonUnmask,200,nov,512,34,0-264,0.0,0.783203125,2/2,7/7,0.7109375,
HAMLET,ButtonUnmask,200,act_L13,512,37,8-272,0.0,0.29296875,2/2,7/7,0.91796875,
HAMLET,ButtonUnmask,200,tail_L13,512,37,8-280,0.0,0.77734375,2/2,7/7,0.908203125,
HAMLET,ButtonUnmask,200,tail_L15,512,37,16-272,0.0,0.693359375,2/2,7/7,0.900390625,
HAMLET,ButtonUnmask,200,act∪tail_L15,512,37,16-272,0.0,0.501953125,2/2,7/7,0.908203125,256/256
HAMLET,ButtonUnmask,200,nov∪act (deployed),512,37,0-272,0.0,0.5078125,2/2,7/7,0.74609375,256/256
HAMLET,ButtonUnmask,200,nov∪tail_L15,512,37,0-264,0.0,0.669921875,2/2,7/7,0.734375,256/256
HAMLET,ButtonUnmask,200,nov∪act∪tail_L15,512,37,0-272,0.0,0.4921875,2/2,7/7,0.748046875,171/171/170
HAMLET,ButtonUnmask,200,nov∪act∪tail_L13,512,37,0-272,0.0,0.533203125,2/2,7/7,0.75390625,171/171/170
HAMLET,ButtonUnmask,200,f0front∪act∪tail_L15,512,37,0-272,0.0,0.408203125,2/2,7/7,0.787109375,81/216/215
HAMLET,ButtonUnmask,200,f0both∪act∪tail_L15,512,37,0-272,0.0,0.474609375,2/2,7/7,0.68359375,160/176/176
HAMLET,VideoPlaceButton,300,nov,512,80,0-984,0.79296875,0.7578125,16/16,7/7,0.708984375,
